ticker,name,sector,start_date,end_date
MCD,McDonald's Corp,Consumer Discretionary,1990-01-01,
NKE,Nike Inc,Consumer Discretionary,1990-01-01,
LOW,Lowe's Companies,Consumer Discretionary,1990-01-01,
SBUX,Starbucks Corp,Consumer Discretionary,1992-06-26,
BKNG,Booking Holdings,Consumer Discretionary,1999-03-30,
TJX,TJX Companies,Consumer Discretionary,1990-01-01,
ORLY,O'Reilly Automotive,Consumer Discretionary,1993-04-22,
CMG,Chipotle Mexican Grill,Consumer Discretionary,2006-01-26,
MAR,Marriott International,Consumer Discretionary,1993-10-08,
GM,General Motors,Consumer Discretionary,2010-11-18,
F,Ford Motor Co,Consumer Discretionary,1990-01-01,
ROST,Ross Stores,Consumer Discretionary,1990-01-01,
YUM,Yum Brands,Consumer Discretionary,1997-09-17,
PG,Procter & Gamble,Consumer Staples,1990-01-01,
KO,Coca-Cola Co,Consumer Staples,1990-01-01,
PEP,PepsiCo Inc,Consumer Staples,1990-01-01,
COST,Costco Wholesale,Consumer Staples,1990-01-01,
WMT,Walmart Inc,Consumer Staples,1990-01-01,
PM,Philip Morris International,Consumer Staples,2008-03-31,
MO,Altria Group,Consumer Staples,1990-01-01,
MDLZ,Mondelez International,Consumer Staples,2001-06-13,
CL,Colgate-Palmolive,Consumer Staples,1990-01-01,
KMB,Kimberly-Clark,Consumer Staples,1990-01-01,
GIS,General Mills,Consumer Staples,1990-01-01,
KHC,Kraft Heinz Co,Consumer Staples,2015-07-06,
STZ,Constellation Brands,Consumer Staples,1990-01-01,
SYY,Sysco Corp,Consumer Staples,1990-01-01,
JNJ,Johnson & Johnson,Health Care,1990-01-01,
UNH,UnitedHealth Group,Health Care,1990-01-01,
LLY,Eli Lilly and Co,Health Care,1990-01-01,
ABBV,AbbVie Inc,Health Care,2013-01-02,
MRK,Merck & Co,Health Care,1990-01-01,
PFE,Pfizer Inc,Health Care,1990-01-01,
TMO,Thermo Fisher Scientific,Health Care,1990-01-01,
ABT,Abbott Laboratories,Health Care,1990-01-01,
DHR,Danaher Corp,Health Care,1990-01-01,
AMGN,Amgen Inc,Health Care,1990-01-01,
BMY,Bristol-Myers Squibb,Health Care,1990-01-01,
GILD,Gilead Sciences,Health Care,1992-01-22,
CVS,CVS Health Corp,Health Care,1990-01-01,
MDT,Medtronic plc,Health Care,1990-01-01,
ISRG,Intuitive Surgical,Health Care,2000-06-13,
VRTX,Vertex Pharmaceuticals,Health Care,1991-07-24,
REGN,Regeneron Pharmaceuticals,Health Care,1991-04-02,
ZTS,Zoetis Inc,Health Care,2013-02-01,
BSX,Boston Scientific,Health Care,1992-05-19,
SYK,Stryker Corp,Health Care,1990-01-01,
BRK-B,Berkshire Hathaway Class B,Financials,1996-05-09,
JPM,JPMorgan Chase,Financials,1990-01-01,
V,Visa Inc,Financials,2008-03-19,
MA,Mastercard Inc,Financials,2006-05-25,
BAC,Bank of America,Financials,1990-01-01,
WFC,Wells Fargo & Co,Financials,1990-01-01,
GS,Goldman Sachs Group,Financials,1999-05-04,
MS,Morgan Stanley,Financials,1993-02-23,
BLK,BlackRock Inc,Financials,1999-10-01,
SPGI,S&P Global Inc,Financials,1990-01-01,
AXP,American Express,Financials,1990-01-01,
C,Citigroup Inc,Financials,1990-01-01,
SCHW,Charles Schwab Corp,Financials,1990-01-01,
CB,Chubb Ltd,Financials,1990-01-01,
PGR,Progressive Corp,Financials,1990-01-01,
CME,CME Group,Financials,2002-12-06,
ICE,Intercontinental Exchange,Financials,2005-11-16,
XOM,Exxon Mobil Corp,Energy,1990-01-01,
CVX,Chevron Corp,Energy,1990-01-01,
COP,ConocoPhillips,Energy,1990-01-01,
SLB,Schlumberger NV,Energy,1990-01-01,
EOG,EOG Resources,Energy,1990-01-01,
MPC,Marathon Petroleum,Energy,2011-07-01,
PSX,Phillips 66,Energy,2012-05-01,
VLO,Valero Energy,Energy,1990-01-01,
OXY,Occidental Petroleum,Energy,1990-01-01,
WMB,Williams Companies,Energy,1990-01-01,
CAT,Caterpillar Inc,Industrials,1990-01-01,
HON,Honeywell International,Industrials,1990-01-01,
UNP,Union Pacific Corp,Industrials,1990-01-01,
GE,General Electric Co,Industrials,1990-01-01,
BA,Boeing Co,Industrials,1990-01-01,
RTX,RTX Corp,Industrials,1990-01-01,
LMT,Lockheed Martin,Industrials,1995-03-16,
DE,Deere & Co,Industrials,1990-01-01,
UPS,United Parcel Service,Industrials,1999-11-10,
ADP,Automatic Data Processing,Industrials,1990-01-01,
MMM,3M Co,Industrials,1990-01-01,
ETN,Eaton Corp plc,Industrials,1990-01-01,
CSX,CSX Corp,Industrials,1990-01-01,
NSC,Norfolk Southern,Industrials,1990-01-01,
EMR,Emerson Electric,Industrials,1990-01-01,
LIN,Linde plc,Materials,1992-06-19,
APD,Air Products & Chemicals,Materials,1990-01-01,
SHW,Sherwin-Williams,Materials,1990-01-01,
ECL,Ecolab Inc,Materials,1990-01-01,
FCX,Freeport-McMoRan,Materials,1995-07-03,
NEM,Newmont Corp,Materials,1990-01-01,
DOW,Dow Inc,Materials,2019-04-02,
NUE,Nucor Corp,Materials,1990-01-01,
NEE,NextEra Energy,Utilities,1990-01-01,
DUK,Duke Energy Corp,Utilities,1990-01-01,
SO,Southern Co,Utilities,1990-01-01,
D,Dominion Energy,Utilities,1990-01-01,
AEP,American Electric Power,Utilities,1990-01-01,
EXC,Exelon Corp,Utilities,2000-10-23,
SRE,Sempra,Utilities,1998-06-29,
PLD,Prologis Inc,Real Estate,1997-11-21,
AMT,American Tower Corp,Real Estate,1998-06-05,
EQIX,Equinix Inc,Real Estate,2000-08-11,
SPG,Simon Property Group,Real Estate,1993-12-14,
PSA,Public Storage,Real Estate,1990-01-01,
O,Realty Income Corp,Real Estate,1994-10-18,
