ticker,name,sector,start_date,end_date,lot_size
SBICARD,SBI Cards & Payment,Financials,2020-03-16,,800
HINDUNILVR,Hindustan Unilever,Consumer Staples,1995-01-01,,300
ITC,ITC Ltd,Consumer Staples,1995-01-01,,1725
NESTLEIND,Nestle India,Consumer Staples,1995-01-01,,500
BRITANNIA,Britannia Industries,Consumer Staples,1995-01-01,,125
DABUR,Dabur India,Consumer Staples,1995-01-01,,1250
GODREJCP,Godrej Consumer Products,Consumer Staples,2001-05-07,,500
MARICO,Marico Ltd,Consumer Staples,1996-01-01,,1200
COLPAL,Colgate-Palmolive India,Consumer Staples,1995-01-01,,275
TATACONSUM,Tata Consumer Products,Consumer Staples,1995-01-01,,550
UBL,United Breweries,Consumer Staples,1999-01-01,,
VBL,Varun Beverages,Consumer Staples,2016-11-08,,1275
PGHH,Procter & Gamble Hygiene,Consumer Staples,1995-01-01,,
MARUTI,Maruti Suzuki India,Consumer Discretionary,2003-07-09,,50
M&M,Mahindra & Mahindra,Consumer Discretionary,1995-01-01,,200
TMPV,Tata Motors,Consumer Discretionary,1995-01-01,,1600
BAJAJ-AUTO,Bajaj Auto,Consumer Discretionary,2008-05-26,,75
EICHERMOT,Eicher Motors,Consumer Discretionary,1995-01-01,,100
HEROMOTOCO,Hero MotoCorp,Consumer Discretionary,1995-01-01,,150
TVSMOTOR,TVS Motor Company,Consumer Discretionary,1998-01-01,,175
TITAN,Titan Company,Consumer Discretionary,1995-01-01,,175
TRENT,Trent Ltd,Consumer Discretionary,1998-01-01,,225
DMART,Avenue Supermarts,Consumer Discretionary,2017-03-21,,150
ASIANPAINT,Asian Paints,Consumer Discretionary,1995-01-01,,250
HAVELLS,Havells India,Consumer Discretionary,1995-01-01,,500
VOLTAS,Voltas Ltd,Consumer Discretionary,1995-01-01,,375
PAGEIND,Page Industries,Consumer Discretionary,2007-03-12,,20
JUBLFOOD,Jubilant FoodWorks,Consumer Discretionary,2010-02-08,,1250
INDHOTEL,Indian Hotels Company,Consumer Discretionary,1995-01-01,,1000
ETERNAL,Zomato Ltd,Consumer Discretionary,2021-07-23,,2425
BOSCHLTD,Bosch Ltd,Consumer Discretionary,1995-01-01,,25
MOTHERSON,Samvardhana Motherson,Consumer Discretionary,1995-01-01,,6150
BALKRISIND,Balkrishna Industries,Consumer Discretionary,1995-01-01,,
MRF,MRF Ltd,Consumer Discretionary,1995-01-01,,
SUNPHARMA,Sun Pharmaceutical,Health Care,1995-01-01,,350
DRREDDY,Dr Reddy's Laboratories,Health Care,1995-01-01,,625
CIPLA,Cipla Ltd,Health Care,1995-01-01,,425
DIVISLAB,Divi's Laboratories,Health Care,2003-03-12,,100
APOLLOHOSP,Apollo Hospitals,Health Care,1996-01-01,,125
LUPIN,Lupin Ltd,Health Care,2001-01-01,,425
AUROPHARMA,Aurobindo Pharma,Health Care,1995-01-01,,550
TORNTPHARM,Torrent Pharmaceuticals,Health Care,1998-01-01,,125
ALKEM,Alkem Laboratories,Health Care,2015-12-23,,125
ZYDUSLIFE,Zydus Lifesciences,Health Care,2000-04-24,,900
BIOCON,Biocon Ltd,Health Care,2004-04-07,,2500
MAXHEALTH,Max Healthcare Institute,Health Care,2020-08-21,,525
LT,Larsen & Toubro,Industrials,1995-01-01,,175
SIEMENS,Siemens Ltd,Industrials,1995-01-01,,175
ABB,ABB India,Industrials,1995-01-01,,125
CUMMINSIND,Cummins India,Industrials,1995-01-01,,200
BEL,Bharat Electronics,Industrials,1995-01-01,,1425
HAL,Hindustan Aeronautics,Industrials,2018-03-28,,150
BHEL,Bharat Heavy Electricals,Industrials,1995-01-01,,2625
CONCOR,Container Corporation of India,Industrials,1995-01-01,,1250
ADANIPORTS,Adani Ports & SEZ,Industrials,2007-11-27,,475
INDIGO,InterGlobe Aviation,Industrials,2015-11-10,,150
POLYCAB,Polycab India,Industrials,2019-04-16,,125
APLAPOLLO,APL Apollo Tubes,Industrials,1995-01-01,,350
TATASTEEL,Tata Steel,Materials,1995-01-01,,2750
JSWSTEEL,JSW Steel,Materials,1995-01-01,,675
HINDALCO,Hindalco Industries,Materials,1995-01-01,,700
VEDL,Vedanta Ltd,Materials,1995-01-01,,1150
JINDALSTEL,Jindal Steel & Power,Materials,1995-01-01,,625
SAIL,Steel Authority of India,Materials,1995-01-01,,4700
NATIONALUM,National Aluminium,Materials,1999-05-04,,1875
ULTRACEMCO,UltraTech Cement,Materials,2004-08-24,,50
SHREECEM,Shree Cement,Materials,1995-01-01,,25
AMBUJACEM,Ambuja Cements,Materials,1995-01-01,,1200
GRASIM,Grasim Industries,Materials,1995-01-01,,250
PIDILITIND,Pidilite Industries,Materials,1995-01-01,,500
UPL,UPL Ltd,Materials,1995-01-01,,1355
SRF,SRF Ltd,Materials,1995-01-01,,200
PIIND,PI Industries,Materials,2011-01-01,,175
COALINDIA,Coal India,Materials,2010-11-04,,1350
NTPC,NTPC Ltd,Utilities,2004-11-05,,1500
POWERGRID,Power Grid Corp of India,Utilities,2007-10-05,,1900
TATAPOWER,Tata Power Company,Utilities,1995-01-01,,1450
ADANIGREEN,Adani Green Energy,Utilities,2018-06-18,,600
NHPC,NHPC Ltd,Utilities,2009-09-01,,6950
TORNTPOWER,Torrent Power,Utilities,2006-11-27,,
BHARTIARTL,Bharti Airtel,Communication Services,2002-02-18,,475
IDEA,Vodafone Idea,Communication Services,2007-03-09,,71475
SUNTV,Sun TV Network,Communication Services,2006-04-24,,
ZEEL,Zee Entertainment,Communication Services,1995-01-01,,
INDUSTOWER,Indus Towers,Communication Services,2016-11-01,,1700
DLF,DLF Ltd,Real Estate,2007-07-05,,950
GODREJPROP,Godrej Properties,Real Estate,2010-01-05,,325
OBEROIRLTY,Oberoi Realty,Real Estate,2010-10-20,,350
PHOENIXLTD,Phoenix Mills,Real Estate,1995-01-01,,350
